Respondent,MainBranch,Hobbyist,Age,Age1stCode,CompFreq,CompTotal,ConvertedComp,Country,CurrencyDesc,CurrencySymbol,DatabaseDesireNextYear,DatabaseWorkedWith,DevType,EdLevel,Employment,Ethnicity,Gender,JobFactors,JobSat,JobSeek,LanguageDesireNextYear,LanguageWorkedWith,MiscTechDesireNextYear,MiscTechWorkedWith,NEWCollabToolsDesireNextYear,NEWCollabToolsWorkedWith,NEWDevOps,NEWDevOpsImpt,NEWEdImpt,NEWJobHunt,NEWJobHuntResearch,NEWLearn,NEWOffTopic,NEWOnboardGood,NEWOtherComms,NEWOvertime,NEWPurchaseResearch,NEWPurpleLink,NEWSOSites,NEWStuck,OpSys,OrgSize,PlatformDesireNextYear,PlatformWorkedWith,PurchaseWhat,Sexuality,SOAccount,SOComm,SOPartFreq,SOVisitFreq,SurveyEase,SurveyLength,Trans,UndergradMajor,WebframeDesireNextYear,WebframeWorkedWith,WelcomeChange,WorkWeekHrs,YearsCode,YearsCodePro
19307,I am a student who is learning to code,No,24.0,21,,,,Pakistan,,,Firebase;MongoDB;MySQL;Redis,Firebase;MongoDB;MySQL;Oracle,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Not employed, but looking for work",South Asian,Man,"Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with;Office environment or company culture",,I am actively looking for a job,C#;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,Assembly;C;C#;C++;HTML/CSS;Java;JavaScript;PHP;Python;SQL,Node.js;Pandas;React Native;TensorFlow,Node.js;Pandas,Github;Slack;Trello,,,,,,,Once a year,No,,Yes,,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2Crowd,Annoyed,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers),Visit Stack Overflow;Panic;Watch help / tutorial videos,Windows,,Android;Docker;WordPress,,,Straight / Heterosexual,Not sure/can't remember,"Yes, definitely",,A few times per month or weekly,Easy,Too long,No,"Computer science, computer engineering, or software engineering",ASP.NET;Django;Express;jQuery;React.js,Express;jQuery;React.js,A lot less welcome now than last year,,3,
19825,I am a developer by profession,Yes,27.0,17,Monthly,200000.0,15564.0,Pakistan,Pakistani rupee,PKR,MongoDB;MySQL;Oracle,MongoDB;MySQL;Oracle,"Database administrator;Designer;Developer, back-end;Developer, desktop or enterprise applications;Developer, embedded applications or devices;Developer, front-end;Developer, full-stack;Developer, mobile","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,,Man,Flex time or a flexible schedule;Opportunities for professional development;Family friendliness,Very satisfied,I am actively looking for a job,C;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,Node.js,Node.js,Jira;Github;Gitlab;Trello,Jira;Github;Gitlab;Slack;Trello,Yes,Somewhat important,Fairly important,Wanting to share accomplishments with a wider network;Curious about other opportunities;Better compensation;Better work/life balance;Wanting to work with new technologies;Growth or leadership opportunities;Looking to relocate,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Personal network - friends or family",Every few months,No,Yes,No,Often: 1-2 days per week or more,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow,Amused,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers),Visit Stack Overflow;Watch help / tutorial videos,Windows,100 to 499 employees,AWS;Heroku;Linux;Windows,AWS;Heroku;Linux;Windows,I have a great deal of influence,Straight / Heterosexual,Yes,"Yes, definitely",Multiple times per day,Multiple times per day,Easy,Too long,No,"Another engineering discipline (such as civil, electrical, mechanical, etc.)",Angular;Angular.js;Django;Express;Flask;jQuery;React.js;Ruby on Rails;Vue.js,Angular;Angular.js;Express;Flask;jQuery;React.js;Spring,Just as welcome now as I felt last year,75.0,8,5
20000,I am a developer by profession,Yes,35.0,10,Yearly,15000.0,15000.0,Pakistan,United States dollar,USD,DynamoDB;PostgreSQL,DynamoDB;PostgreSQL,"Data scientist or machine learning specialist;Developer, back-end;System administrator",Some college/university study without earning a degree,"Independent contractor, freelancer, or self-employed",,Man,"Languages, frameworks, and other technologies I’d be working with;Remote work options;Opportunities for professional development",Slightly satisfied,I am actively looking for a job,Bash/Shell/PowerShell;C#;Python;TypeScript,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;Python;TypeScript,.NET Core;Pandas;Torch/PyTorch,.NET Core;Node.js;Pandas;Torch/PyTorch,Github;Trello,"Github;Slack;Microsoft Teams;Trello;Google Suite (Docs, Meet, etc)",No,Extremely important,Somewhat important,Curious about other opportunities;Better compensation;Wanting to work with new technologies;Looking to relocate,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Read other media like news articles, founder profiles, etc. about the company",Every few months,No,Onboarding? What onboarding?,Yes,Sometimes: 1-2 days per month but less than weekly,Start a free trial;Ask developers I know/work with,Indifferent,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers),Call a coworker or friend;Visit Stack Overflow;Watch help / tutorial videos;Do other work and come back later,MacOS,2 to 9 employees,AWS;Linux;MacOS;Microsoft Azure,AWS;Linux;MacOS;Microsoft Azure;Windows,,Straight / Heterosexual,Yes,"Yes, somewhat",A few times per week,A few times per week,Easy,Appropriate in length,No,Mathematics or statistics,ASP.NET Core;Flask;React.js,ASP.NET Core;Express;Flask;React.js,Just as welcome now as I felt last year,50.0,15,3
20093,I am a student who is learning to code,Yes,24.0,20,,,,Pakistan,,,Firebase;MariaDB;MongoDB;MySQL;PostgreSQL;SQLite,MariaDB;MySQL;SQLite,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Student,,Man,"Languages, frameworks, and other technologies I’d be working with;Office environment or company culture;Opportunities for professional development",,I am actively looking for a job,HTML/CSS;JavaScript;PHP;Python,C++;HTML/CSS;JavaScript;PHP;Python;SQL,Keras;Node.js;TensorFlow,,Github;Gitlab;Stack Overflow for Teams,Github,,,,,,Every few months,No,,Yes,,Start a free trial;Visit developer communities like Stack Overflow,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Meditate;Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos,Linux-based,,Linux,Android;Linux,,,Yes,"Yes, definitely",A few times per month or weekly,Multiple times per day,Neither easy nor difficult,Appropriate in length,No,"Computer science, computer engineering, or software engineering",Angular.js;Django;Flask;jQuery;Laravel;React.js;Vue.js,jQuery;Laravel,Somewhat more welcome now than last year,,3,
20152,I am a student who is learning to code,Yes,,11,,,,Pakistan,,,Firebase;Microsoft SQL Server;Oracle;PostgreSQL;SQLite,MariaDB;MySQL;SQLite,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Student,South Asian;Southeast Asian,Man,"Languages, frameworks, and other technologies I’d be working with;How widely used or impactful my work output would be;Opportunities for professional development",,"I’m not actively looking, but I am open to new opportunities",C#;C++;Go;JavaScript;PHP;Python;SQL;Swift,C++;HTML/CSS;JavaScript;PHP;SQL,Node.js;Unity 3D;Xamarin,.NET,Gitlab;Microsoft Azure;Stack Overflow for Teams,"Github;Google Suite (Docs, Meet, etc);Stack Overflow for Teams",,,,,,Every few months,Yes,,No,,Ask developers I know/work with;Read ratings or reviews on third party sites like G2Crowd;Research companies that have advertised on sites I visit;Research companies that have emailed me,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes),Watch help / tutorial videos;Do other work and come back later,Windows,,Arduino;Linux;MacOS,Android;Windows;WordPress,,Straight / Heterosexual,Yes,"Yes, definitely",Daily or almost daily,A few times per week,Easy,Too short,No,"Computer science, computer engineering, or software engineering",ASP.NET;Django;Ruby on Rails,jQuery,Just as welcome now as I felt last year,,4,
20168,I am a developer by profession,Yes,,18,Monthly,350000.0,27240.0,Pakistan,Pakistani rupee,PKR,Firebase;MariaDB;Microsoft SQL Server;MongoDB;MySQL,Firebase;MariaDB;Microsoft SQL Server;MongoDB;MySQL,"Database administrator;Developer, back-end;Developer, desktop or enterprise applications;Developer, mobile","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,South Asian,Man,Diversity of the company or organization;Office environment or company culture;Opportunities for professional development,Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",C#;HTML/CSS;JavaScript;PHP;SQL;Swift;TypeScript,C#;HTML/CSS;JavaScript;Objective-C;PHP;SQL;Swift;TypeScript,.NET;Flutter;Node.js;React Native,.NET;Node.js;React Native,Jira;Github;Gitlab;Slack;Trello,Github;Gitlab;Slack;Trello,Not sure,Extremely important,Fairly important,Wanting to share accomplishments with a wider network;Better compensation;Trouble with my direct manager;Trouble with leadership at my company;Wanting to work with new technologies,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company",Every few months,No,No,Yes,Sometimes: 1-2 days per month but less than weekly,Start a free trial;Visit developer communities like Stack Overflow,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers),Visit Stack Overflow;Go for a walk or other physical activity;Do other work and come back later,MacOS,"1,000 to 4,999 employees",AWS;Docker;Heroku;iOS;MacOS;Windows,AWS;Docker;Heroku;iOS;MacOS;Windows,I have some influence,Straight / Heterosexual,Not sure/can't remember,"Yes, somewhat",,Multiple times per day,Easy,Appropriate in length,No,"Computer science, computer engineering, or software engineering",ASP.NET Core;Express;jQuery;Laravel;React.js;Vue.js,ASP.NET;Express;jQuery;Laravel;React.js;Vue.js,,,18,14
20281,I am a developer by profession,Yes,36.0,20,Yearly,,,Pakistan,Pound sterling,GBP,MySQL;Oracle,MySQL,"Developer, back-end;Educator","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,East Asian,Man,"Languages, frameworks, and other technologies I’d be working with;Financial performance or funding status of the company or organization;Opportunities for professional development",Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",HTML/CSS;Java;JavaScript;Objective-C;PHP;Python;SQL,HTML/CSS;JavaScript;PHP;SQL,,,Github;Slack;Stack Overflow for Teams,Github;Slack,Not sure,Extremely important,Very important,Curious about other opportunities;Better compensation;Growth or leadership opportunities,Personal network - friends or family,Once a year,Not sure,Yes,No,Occasionally: 1-2 days per quarter but less than monthly,,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes),Visit Stack Overflow;Do other work and come back later,Windows,100 to 499 employees,Android;Linux;Windows,Linux;Windows,I have little or no influence,,Yes,Neutral,Less than once per month or monthly,Multiple times per day,Easy,Appropriate in length,No,"Information systems, information technology, or system administration",jQuery;Laravel;React.js,jQuery;Laravel;React.js,Somewhat more welcome now than last year,40.0,1,10
20320,I am a developer by profession,Yes,19.0,16,Monthly,50000.0,3888.0,Pakistan,Pakistani rupee,PKR,Cassandra;Couchbase;DynamoDB;Firebase;MariaDB;Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL;Redis;SQLite,Firebase;MariaDB;Microsoft SQL Server;MongoDB;MySQL;SQLite,"Developer, back-end;Developer, desktop or enterprise applications;Developer, full-stack;Developer, mobile","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,South Asian;Southeast Asian,Man,Financial performance or funding status of the company or organization;Office environment or company culture;Opportunities for professional development,Very dissatisfied,"I’m not actively looking, but I am open to new opportunities",C#;C++;Dart;HTML/CSS;Java;JavaScript;Kotlin;Objective-C;PHP;Python;SQL;TypeScript,C;C#;C++;Dart;HTML/CSS;Java;JavaScript;Kotlin;Objective-C;PHP;Python;SQL;TypeScript,.NET;.NET Core;Flutter;Hadoop;Keras;Node.js;TensorFlow;Unity 3D;Unreal Engine,.NET;.NET Core;Cordova;Flutter;Node.js;React Native;Unity 3D;Unreal Engine,Jira;Github;Gitlab;Slack;Trello,Github;Gitlab;Slack,No,Extremely important,Somewhat important,Just because;Curious about other opportunities;Better compensation,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Read other media like news articles, founder profiles, etc. about the company",Every few months,Yes,Yes,No,Often: 1-2 days per week or more,Start a free trial;Visit developer communities like Stack Overflow,Amused,Stack Overflow (public Q&A for anyone who codes);Stack Overflow Jobs (for job seekers),Visit Stack Overflow;Watch help / tutorial videos;Do other work and come back later,Windows,2 to 9 employees,Android;Arduino;AWS;Docker;Heroku;iOS;Linux;MacOS;Windows,Android;Docker;Heroku;iOS;Linux;MacOS;Windows,I have a great deal of influence,,Yes,Neutral,I have never participated in Q&A on Stack Overflow,Multiple times per day,Easy,Appropriate in length,No,"Computer science, computer engineering, or software engineering",Angular;ASP.NET;ASP.NET Core;Django;Express;Flask;jQuery;Laravel;React.js;Vue.js,Angular;ASP.NET;ASP.NET Core;Django;Express;Flask;jQuery;Laravel;React.js;Vue.js,A lot more welcome now than last year,56.0,3,2
20377,I am a student who is learning to code,Yes,23.0,18,,,,Pakistan,,,MySQL;SQLite,Firebase,,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Student,East Asian;South Asian,Man,Opportunities for professional development,,I am actively looking for a job,Java,Java,.NET,.NET;.NET Core,Github;Microsoft Teams;Microsoft Azure;Stack Overflow for Teams,Github;Stack Overflow for Teams,,,,,,Every few months,Yes,,No,,Start a free trial;Visit developer communities like Stack Overflow,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Visit Stack Overflow;Watch help / tutorial videos,Windows,,Android,Android,,,Yes,"Yes, somewhat",I have never participated in Q&A on Stack Overflow,Multiple times per day,Easy,Appropriate in length,No,"Computer science, computer engineering, or software engineering",Angular.js,jQuery,A lot less welcome now than last year,,,
20472,I am a developer by profession,Yes,22.0,19,Monthly,,,Pakistan,Pakistani rupee,PKR,IBM DB2;MariaDB;Microsoft SQL Server;MongoDB;Oracle,Firebase;MySQL;PostgreSQL;SQLite,"Designer;Developer, back-end;Developer, desktop or enterprise applications;Developer, front-end;Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,East Asian,Man,Opportunities for professional development,Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",R,HTML/CSS;Java;JavaScript;PHP;Python;SQL,,TensorFlow,,Github;Slack;Trello,,Neutral,Very important,Better work/life balance;Wanting to work with new technologies;Growth or leadership opportunities,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Read other media like news articles, founder profiles, etc. about the company",Every few months,Not sure,Onboarding? What onboarding?,No,Sometimes: 1-2 days per month but less than weekly,Start a free trial;Visit developer communities like Stack Overflow,Amused,Stack Overflow (public Q&A for anyone who codes);Stack Overflow Jobs (for job seekers);Stack Overflow for Teams (private Q&A for organizations);Stack Overflow Talent (for hiring companies/recruiters),Visit Stack Overflow;Watch help / tutorial videos,Windows,2 to 9 employees,AWS;IBM Cloud or Watson;MacOS,Heroku;Linux;Windows;WordPress,,,Yes,Neutral,Less than once per month or monthly,Daily or almost daily,Easy,Appropriate in length,No,"Information systems, information technology, or system administration",,Django;Laravel,A lot more welcome now than last year,,2,1
20591,I am a developer by profession,Yes,32.0,13,Monthly,198000.0,15408.0,Pakistan,Pakistani rupee,PKR,,,"Developer, mobile","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,South Asian,Man,"Languages, frameworks, and other technologies I’d be working with;Office environment or company culture;Family friendliness",Very satisfied,I am actively looking for a job,Dart;JavaScript;Python;Swift,JavaScript;Objective-C;Swift,Node.js,Node.js;React Native,Jira;Github,Confluence;Jira;Github;Trello,Yes,Somewhat important,Fairly important,Curious about other opportunities;Growth or leadership opportunities;Looking to relocate,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company",Every few months,Not sure,Yes,Yes,Occasionally: 1-2 days per quarter but less than monthly,Start a free trial,Annoyed,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Visit Stack Overflow,MacOS,100 to 499 employees,Docker;Heroku;iOS,iOS,I have some influence,Straight / Heterosexual,Yes,"Yes, definitely",Less than once per month or monthly,Daily or almost daily,Easy,Appropriate in length,No,"Computer science, computer engineering, or software engineering",React.js;Vue.js,React.js,Somewhat more welcome now than last year,40.0,15,10
20608,I am a developer by profession,Yes,23.0,21,Monthly,400.0,4800.0,Pakistan,United States dollar,USD,MongoDB,MySQL,"Developer, back-end;Developer, desktop or enterprise applications;Developer, front-end;Developer, full-stack;Developer, mobile",I never completed any formal education,Employed full-time,,Man,"Languages, frameworks, and other technologies I’d be working with;Remote work options;Opportunities for professional development",Very satisfied,I am actively looking for a job,Python,HTML/CSS;JavaScript;TypeScript,Node.js,React Native,Stack Overflow for Teams,Jira;Github;Gitlab;Slack;Trello,Yes,Extremely important,,Better compensation;Better work/life balance;Growth or leadership opportunities,"Read company media, such as employee blogs or company culture videos;Publicly available financial information (e.g. Crunchbase)",Once a year,Yes,Yes,Yes,Sometimes: 1-2 days per month but less than weekly,Visit developer communities like Stack Overflow,Amused,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Talent (for hiring companies/recruiters),Visit Stack Overflow,Linux-based,20 to 99 employees,AWS;Docker;Heroku,Linux;Windows,I have a great deal of influence,,Yes,"Yes, definitely",Less than once per month or monthly,Daily or almost daily,Neither easy nor difficult,Appropriate in length,,,Django;Express,Gatsby;React.js;Vue.js,A lot less welcome now than last year,30.0,2,1
20618,I am a developer by profession,Yes,25.0,19,Monthly,85000.0,6612.0,Pakistan,Pakistani rupee,PKR,Firebase;MySQL;SQLite,Firebase;Microsoft SQL Server;MySQL;SQLite,"Developer, mobile;Developer, QA or test;Educator;Product manager","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Independent contractor, freelancer, or self-employed",Southeast Asian,Man,"Languages, frameworks, and other technologies I’d be working with;Financial performance or funding status of the company or organization;Office environment or company culture",Very dissatisfied,"I’m not actively looking, but I am open to new opportunities",C++;Java;JavaScript;Kotlin,C#;C++;Java;JavaScript;Kotlin;PHP;SQL,Node.js;TensorFlow,Node.js;Unity 3D,Jira;Github;Facebook Workplace;Trello;Stack Overflow for Teams,Github;Facebook Workplace;Trello,Yes,Extremely important,Fairly important,Curious about other opportunities;Trouble with my teammates;Growth or leadership opportunities,"Read company media, such as employee blogs or company culture videos;Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company;Directly asking current or past employees at the company",Once every few years,Yes,Yes,No,Often: 1-2 days per week or more,Ask developers I know/work with;Read ratings or reviews on third party sites like G2Crowd;Research companies that have emailed me,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Meditate;Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos;Visit another developer community (please name):,MacOS,100 to 499 employees,Android;Google Cloud Platform;iOS;Microsoft Azure,Android;Arduino;Google Cloud Platform,,Bisexual,Yes,"Yes, definitely",A few times per week,Daily or almost daily,Neither easy nor difficult,Appropriate in length,No,"Computer science, computer engineering, or software engineering",,,Just as welcome now as I felt last year,9.0,6,4
20653,I am a student who is learning to code,Yes,26.0,18,,,,Pakistan,,,MongoDB;MySQL,MySQL;Oracle,"Academic researcher;Data or business analyst;Data scientist or machine learning specialist;Database administrator;Developer, back-end;Developer, desktop or enterprise applications;Developer, front-end;Engineer, data","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Not employed, but looking for work",South Asian,Man,"Languages, frameworks, and other technologies I’d be working with;Specific department or team I’d be working on;Remote work options",,"I’m not actively looking, but I am open to new opportunities",C++;HTML/CSS;PHP;Python;SQL,Assembly;Bash/Shell/PowerShell;C;C#;C++;HTML/CSS;PHP;Python;SQL,,.NET,Jira;Github,Github,,,,,,Once a year,Yes,,Yes,,Start a free trial;Ask developers I know/work with,Amused,Stack Overflow (public Q&A for anyone who codes);Stack Overflow Jobs (for job seekers),Visit Stack Overflow,Windows,,Android;WordPress,Android;Arduino;WordPress,,,Yes,"Yes, definitely",A few times per month or weekly,A few times per week,Easy,Appropriate in length,No,"Computer science, computer engineering, or software engineering",Django,,Somewhat more welcome now than last year,,6,
20670,I am a developer by profession,Yes,,20,Monthly,,,Pakistan,Pakistani rupee,PKR,Cassandra;Couchbase;DynamoDB;Elasticsearch;Firebase;IBM DB2;MariaDB;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;Redis;SQLite,Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL;SQLite,"Academic researcher;Data or business analyst;Data scientist or machine learning specialist;Developer, back-end;Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,,,How widely used or impactful my work output would be;Office environment or company culture;Opportunities for professional development,Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",HTML/CSS;JavaScript;Python;R;Ruby;SQL;TypeScript,Assembly;C;C#;HTML/CSS;Java;JavaScript;Python;SQL,Hadoop;Keras;Node.js;Pandas;React Native;TensorFlow;Torch/PyTorch,.NET;Keras;Pandas;TensorFlow;Torch/PyTorch,"Jira;Github;Gitlab;Slack;Microsoft Azure;Trello;Google Suite (Docs, Meet, etc);Stack Overflow for Teams","Github;Gitlab;Slack;Trello;Google Suite (Docs, Meet, etc)",Yes,Extremely important,Not at all important/not necessary,Wanting to share accomplishments with a wider network;Better work/life balance;Wanting to work with new technologies;Growth or leadership opportunities,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Publicly available financial information (e.g. Crunchbase);Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company;Directly asking current or past employees at the company",,No,No,No,Occasionally: 1-2 days per quarter but less than monthly,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2Crowd,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes),Play games;Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos;Do other work and come back later,Linux-based,20 to 99 employees,AWS;Docker;Google Cloud Platform;Heroku;IBM Cloud or Watson;Linux;Microsoft Azure;Raspberry Pi;Slack Apps and Integrations;Windows;WordPress,AWS;Linux;Microsoft Azure;Windows,I have some influence,,Yes,"Yes, definitely",Multiple times per day,Multiple times per day,Difficult,Too long,,"Computer science, computer engineering, or software engineering",Django;Drupal;Express;Flask;jQuery;React.js;Ruby on Rails,ASP.NET;Django;Flask;jQuery,Not applicable - I did not use Stack Overflow last year,45.0,6,2
20688,I am a student who is learning to code,Yes,16.0,15,,,,Pakistan,,,PostgreSQL;SQLite,PostgreSQL;SQLite,"Developer, back-end",,"Independent contractor, freelancer, or self-employed",South Asian,Man,"Languages, frameworks, and other technologies I’d be working with;How widely used or impactful my work output would be",,I am not interested in new job opportunities,JavaScript;Kotlin,Python,TensorFlow;Torch/PyTorch,TensorFlow;Torch/PyTorch,Github,Github,,,,,,Once every few years,No,,No,,Start a free trial;Ask developers I know/work with,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Visit Stack Overflow;Watch help / tutorial videos;Visit another developer community (please name):,MacOS,,Android;Arduino;Heroku;MacOS;Raspberry Pi,Android;Arduino;Heroku;Linux;MacOS;Raspberry Pi;Windows,,,Yes,"Yes, definitely",Daily or almost daily,Multiple times per day,Easy,Appropriate in length,No,"Computer science, computer engineering, or software engineering",Django;Flask,Django;Flask,A lot more welcome now than last year,,1,
20696,I am a developer by profession,Yes,21.0,21,Monthly,,,Pakistan,United States dollar,USD,MongoDB,MySQL,"Developer, back-end;Developer, desktop or enterprise applications;Developer, front-end;Developer, full-stack;Developer, mobile",I never completed any formal education,Employed full-time,,Man,Flex time or a flexible schedule;Remote work options;Financial performance or funding status of the company or organization,Very satisfied,"I’m not actively looking, but I am open to new opportunities",Python,HTML/CSS;JavaScript;SQL;TypeScript,Node.js;React Native,,Stack Overflow for Teams,Jira;Github;Gitlab;Slack;Trello,Yes,Extremely important,,Better work/life balance;Wanting to work with new technologies;Growth or leadership opportunities,"Company reviews from third party sites (e.g. Glassdoor, Blind);Personal network - friends or family;Directly asking current or past employees at the company",Once a year,Yes,Yes,No,Sometimes: 1-2 days per month but less than weekly,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow,Amused,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Call a coworker or friend;Visit Stack Overflow;Watch help / tutorial videos,Linux-based,20 to 99 employees,Docker,Linux;Windows,I have some influence,,Yes,"Yes, definitely",I have never participated in Q&A on Stack Overflow,Daily or almost daily,Neither easy nor difficult,Appropriate in length,,,Django;Express,Gatsby;jQuery;React.js;Vue.js,A lot less welcome now than last year,,2,1
20711,I am a developer by profession,Yes,20.0,16,Monthly,90000.0,7008.0,Pakistan,Pakistani rupee,PKR,Firebase;MariaDB;MongoDB;MySQL;SQLite,MySQL,"Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Independent contractor, freelancer, or self-employed",South Asian,Man,"Languages, frameworks, and other technologies I’d be working with;How widely used or impactful my work output would be;Opportunities for professional development",Very satisfied,"I’m not actively looking, but I am open to new opportunities",Assembly;Bash/Shell/PowerShell;C;C++;HTML/CSS;Java;JavaScript;SQL;TypeScript,C;C++;HTML/CSS;JavaScript;PHP;SQL,Node.js;React Native;TensorFlow,Node.js,Trello,Slack;Trello,,,Somewhat important,Wanting to work with new technologies;Growth or leadership opportunities,"Read other media like news articles, founder profiles, etc. about the company;Directly asking current or past employees at the company",Once a year,,Onboarding? What onboarding?,Yes,Sometimes: 1-2 days per month but less than weekly,Start a free trial;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2Crowd,,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers),Visit Stack Overflow;Do other work and come back later,Windows,"Just me - I am a freelancer, sole proprietor, etc.",Android;AWS;Docker;Google Cloud Platform;Heroku;Linux;MacOS,,,,Yes,"Yes, somewhat",I have never participated in Q&A on Stack Overflow,A few times per month or weekly,Neither easy nor difficult,Appropriate in length,,"Computer science, computer engineering, or software engineering",Express;Gatsby;jQuery;React.js,jQuery;React.js,,30.0,5,
